Time (UTC);Open;High;Low;Close
12.04.2022 09:00;1,08619;1,08737;1,08597;1,08735
12.04.2022 10:00;1,08735;1,08738;1,08654;1,08668
12.04.2022 11:00;1,0867;1,08684;1,08545;1,08623
12.04.2022 12:00;1,08624;1,09036;1,08507;1,08958
12.04.2022 13:00;1,08956;1,09032;1,08687;1,087
12.04.2022 14:00;1,087;1,08883;1,08699;1,08726
12.04.2022 15:00;1,08726;1,08751;1,08513;1,08525
12.04.2022 16:00;1,08526;1,08649;1,08321;1,08416
12.04.2022 17:00;1,08412;1,08446;1,08276;1,08285
12.04.2022 18:00;1,08286;1,08319;1,08211;1,08276
12.04.2022 19:00;1,08276;1,08336;1,08276;1,08306
12.04.2022 20:00;1,08305;1,08311;1,08253;1,08262
12.04.2022 21:00;1,0826;1,08292;1,08256;1,08275
12.04.2022 22:00;1,08275;1,08313;1,0826;1,08282
12.04.2022 23:00;1,08281;1,08286;1,08232;1,0826
13.04.2022 00:00;1,08259;1,08292;1,08113;1,08156
13.04.2022 01:00;1,08158;1,08307;1,08143;1,08298
13.04.2022 02:00;1,08297;1,08385;1,0828;1,08349
13.04.2022 03:00;1,08349;1,08408;1,08328;1,08371
13.04.2022 04:00;1,08371;1,08387;1,08292;1,08332
13.04.2022 05:00;1,08333;1,08439;1,08293;1,08434
13.04.2022 06:00;1,08434;1,08447;1,08212;1,08217
13.04.2022 07:00;1,08218;1,08399;1,0815;1,0838
13.04.2022 08:00;1,0838;1,08389;1,0827;1,08368
13.04.2022 09:00;1,08368;1,08368;1,08251;1,08348
13.04.2022 10:00;1,08348;1,08353;1,08232;1,08268
13.04.2022 11:00;1,08267;1,08477;1,08258;1,08306
13.04.2022 12:00;1,0831;1,08347;1,0815;1,0818
13.04.2022 13:00;1,08179;1,08272;1,08088;1,08168
13.04.2022 14:00;1,08169;1,08486;1,08145;1,08474
13.04.2022 15:00;1,08473;1,08732;1,08451;1,08717
13.04.2022 16:00;1,08716;1,08942;1,08716;1,08818
13.04.2022 17:00;1,08819;1,08859;1,08734;1,08748
13.04.2022 18:00;1,08747;1,08871;1,08716;1,08856
13.04.2022 19:00;1,08855;1,08906;1,08825;1,08829
13.04.2022 20:00;1,08828;1,08928;1,08828;1,08901
