Time (UTC);Open;High;Low;Close;Volume 
2022.03.20 21:00:00;1,10561;1,10701;1,10102;1,10151;147869,642
2022.03.21 21:00:00;1,10151;1,10457;1,09608;1,1028;213950,05
2022.03.22 21:00:00;1,1028;1,10436;1,09639;1,1002;157769,1362
2022.03.23 21:00:00;1,10019;1,10136;1,09659;1,0996;168848,7424
2022.03.24 21:00:00;1,0996;1,10376;1,09797;1,09805;208035,4641
2022.03.27 21:00:00;1,09845;1,09995;1,09446;1,09838;207880,42
2022.03.28 21:00:00;1,09838;1,1137;1,0969;1,10855;270185,62
2022.03.29 21:00:00;1,10855;1,1171;1,10782;1,11582;279036,5086
2022.03.30 21:00:00;1,11578;1,11848;1,10608;1,10662;183905,91
2022.03.31 21:00:00;1,1066;1,1076;1,10279;1,10427;196561,34
2022.04.03 21:00:00;1,10301;1,10544;1,09603;1,09696;91971,489
2022.04.04 21:00:00;1,09689;1,09886;1,09;1,09033;85122,3256
2022.04.05 21:00:00;1,09033;1,09379;1,08745;1,08945;127013,85
2022.04.06 21:00:00;1,08945;1,09383;1,08644;1,08769;185636,83
2022.04.07 21:00:00;1,08768;1,08917;1,08364;1,08744;120190,628
2022.04.10 21:00:00;1,09202;1,09332;1,08727;1,08829;132621,1038
2022.04.11 21:00:00;1,08829;1,09036;1,08211;1,08262;234319,401
2022.04.12 21:00:00;1,0826;1,08942;1,08088;1,08901;217677,9
2022.04.13 21:00:00;1,08901;1,09233;1,07575;1,08281;271600,4508
2022.04.14 21:00:00;1,08282;1,08299;1,07964;1,08057;177092,7457
2022.04.17 21:00:00;1,08029;1,08216;1,07698;1,07804;154815,49
2022.04.18 21:00:00;1,07809;1,08145;1,0761;1,0788;189758,0162
2022.04.19 21:00:00;1,0788;1,0867;1,07838;1,08514;153309,56
2022.04.20 21:00:00;1,08505;1,09362;1,08234;1,0832;246469,2597
2022.04.21 21:00:00;1,0832;1,08515;1,07707;1,07947;227541,091
2022.04.24 21:00:00;1,08041;1,08153;1,06966;1,07114;288513,6754
2022.04.25 21:00:00;1,0711;1,07386;1,06356;1,0637;226271,474
2022.04.26 21:00:00;1,06367;1,06546;1,05145;1,05575;261057,228
2022.04.27 21:00:00;1,05575;1,05647;1,0471;1,04981;274561,91
2022.04.28 21:00:00;1,0498;1,05928;1,04911;1,05409;225122,2175
2022.05.01 21:00:00;1,05444;1,05682;1,04901;1,05055;263215,531
2022.05.02 21:00:00;1,05055;1,05776;1,04921;1,0519;219644,98
2022.05.03 21:00:00;1,0519;1,06309;1,05059;1,06199;304898,08
2022.05.04 21:00:00;1,062;1,06417;1,04925;1,05405;314083,46
2022.05.05 21:00:00;1,05402;1,05988;1,04826;1,05452;397455,04
2022.05.08 21:00:00;1,05398;1,05924;1,04951;1,05588;247569,35
2022.05.09 21:00:00;1,0559;1,05852;1,05253;1,05285;232583,68
2022.05.10 21:00:00;1,05285;1,05771;1,05017;1,0511;319388,3836
2022.05.11 21:00:00;1,05103;1,05292;1,03539;1,03783;358371,73
2022.05.12 21:00:00;1,03783;1,04195;1,03496;1,04116;152517,93
2022.05.15 21:00:00;1,03952;1,0443;1,03889;1,04313;189810,6886
